Statistics Summary
G-06,Team 01,5,2,3,4.14,5
G-06,Team 02,5,2,3,4.06,4
G-06,Team 03,5,2,3,4.04,5
G-06,Team 04,5,2,3,4.09,5
G-06,Team 05,5,2,3,4.07,4
G-06,Team 06,5,2,3,4.15,5
G-06,Team 07,5,2,3,4.02,5
G-06,Team 08,5,2,3,4.14,5
G-06,Team 09,5,2,3,4.13,5
G-06,Team 10,5,2,3,4.14,5

Overall Statistics for G-06
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.10
Min GPA,4.02
Max GPA,4.15
Average GPA Deviation,0.041

G-07,Team 01,5,3,2,4.12,5
G-07,Team 02,5,3,2,4.08,5
G-07,Team 03,5,3,2,4.06,5
G-07,Team 04,5,3,2,4.04,5
G-07,Team 05,5,3,2,4.11,5
G-07,Team 06,5,3,2,4.14,5
G-07,Team 07,5,3,2,3.98,5
G-07,Team 08,5,2,3,4.16,5
G-07,Team 09,5,2,3,4.03,5
G-07,Team 10,5,2,3,4.20,4

Overall Statistics for G-07
Total Students,50
Total Males,27
Total Females,23
Average GPA,4.09
Min GPA,3.98
Max GPA,4.20
Average GPA Deviation,0.055

G-08,Team 01,5,3,2,4.12,5
G-08,Team 02,5,3,2,4.17,5
G-08,Team 03,5,2,3,4.04,5
G-08,Team 04,5,2,3,4.11,5
G-08,Team 05,5,2,3,4.07,4
G-08,Team 06,5,2,3,4.10,4
G-08,Team 07,5,2,3,4.11,5
G-08,Team 08,5,2,3,4.10,5
G-08,Team 09,5,2,3,4.05,5
G-08,Team 10,5,2,3,4.03,5

Overall Statistics for G-08
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.09
Min GPA,4.03
Max GPA,4.17
Average GPA Deviation,0.034

G-09,Team 01,5,3,2,4.12,5
G-09,Team 02,5,3,2,4.06,5
G-09,Team 03,5,3,2,4.06,5
G-09,Team 04,5,3,2,4.07,5
G-09,Team 05,5,2,3,4.20,5
G-09,Team 06,5,2,3,4.07,5
G-09,Team 07,5,2,3,4.01,5
G-09,Team 08,5,2,3,4.10,5
G-09,Team 09,5,2,3,4.06,5
G-09,Team 10,5,2,3,4.03,5

Overall Statistics for G-09
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.08
Min GPA,4.01
Max GPA,4.20
Average GPA Deviation,0.037

G-10,Team 01,5,3,2,4.16,5
G-10,Team 02,5,3,2,4.07,5
G-10,Team 03,5,3,2,4.12,5
G-10,Team 04,5,3,2,4.08,5
G-10,Team 05,5,3,2,4.08,5
G-10,Team 06,5,3,2,4.13,5
G-10,Team 07,5,2,3,4.13,4
G-10,Team 08,5,2,3,4.05,5
G-10,Team 09,5,2,3,4.22,5
G-10,Team 10,5,2,3,4.15,5

Overall Statistics for G-10
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.12
Min GPA,4.05
Max GPA,4.22
Average GPA Deviation,0.038

G-11,Team 01,5,3,2,4.02,5
G-11,Team 02,5,3,2,4.09,5
G-11,Team 03,5,3,2,4.00,5
G-11,Team 04,5,2,3,4.09,5
G-11,Team 05,5,2,3,4.04,5
G-11,Team 06,5,2,3,4.03,5
G-11,Team 07,5,2,3,4.14,4
G-11,Team 08,5,2,3,4.20,5
G-11,Team 09,5,2,3,3.99,4
G-11,Team 10,5,2,3,4.13,4

Overall Statistics for G-11
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.07
Min GPA,3.99
Max GPA,4.20
Average GPA Deviation,0.056

G-12,Team 01,5,3,2,4.07,5
G-12,Team 02,5,3,2,4.11,5
G-12,Team 03,5,3,2,4.22,5
G-12,Team 04,5,3,2,4.12,5
G-12,Team 05,5,2,3,4.14,5
G-12,Team 06,5,2,3,4.22,4
G-12,Team 07,5,2,3,4.07,3
G-12,Team 08,5,2,3,4.06,5
G-12,Team 09,5,2,3,4.15,4
G-12,Team 10,5,2,3,4.01,5

Overall Statistics for G-12
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.12
Min GPA,4.01
Max GPA,4.22
Average GPA Deviation,0.053

G-13,Team 01,5,3,2,4.08,5
G-13,Team 02,5,3,2,4.12,5
G-13,Team 03,5,2,3,3.96,5
G-13,Team 04,5,2,3,4.05,3
G-13,Team 05,5,2,3,4.04,4
G-13,Team 06,5,2,3,4.12,5
G-13,Team 07,5,2,3,4.09,5
G-13,Team 08,5,2,3,4.06,5
G-13,Team 09,5,2,3,4.02,5
G-13,Team 10,5,2,3,4.09,5

Overall Statistics for G-13
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.06
Min GPA,3.96
Max GPA,4.12
Average GPA Deviation,0.038

G-14,Team 01,5,3,2,4.10,5
G-14,Team 02,5,3,2,4.07,5
G-14,Team 03,5,3,2,4.12,5
G-14,Team 04,5,3,2,4.08,5
G-14,Team 05,5,2,3,4.05,5
G-14,Team 06,5,2,3,4.11,5
G-14,Team 07,5,2,3,4.00,5
G-14,Team 08,5,2,3,4.14,5
G-14,Team 09,5,2,3,4.04,5
G-14,Team 10,5,2,3,4.06,5

Overall Statistics for G-14
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.08
Min GPA,4.00
Max GPA,4.14
Average GPA Deviation,0.033

G-15,Team 01,5,3,2,4.09,5
G-15,Team 02,5,3,2,4.02,5
G-15,Team 03,5,3,2,4.03,5
G-15,Team 04,5,3,2,4.05,5
G-15,Team 05,5,3,2,4.08,5
G-15,Team 06,5,3,2,4.09,5
G-15,Team 07,5,3,2,4.01,5
G-15,Team 08,5,3,2,4.02,5
G-15,Team 09,5,3,2,4.12,4
G-15,Team 10,5,2,3,4.09,4

Overall Statistics for G-15
Total Students,50
Total Males,29
Total Females,21
Average GPA,4.06
Min GPA,4.01
Max GPA,4.12
Average GPA Deviation,0.033

G-16,Team 01,5,3,2,4.02,5
G-16,Team 02,5,3,2,4.05,5
G-16,Team 03,5,3,2,4.04,5
G-16,Team 04,5,2,3,4.03,4
G-16,Team 05,5,2,3,4.09,5
G-16,Team 06,5,2,3,4.16,3
G-16,Team 07,5,2,3,4.07,5
G-16,Team 08,5,2,3,4.13,5
G-16,Team 09,5,2,3,4.11,4
G-16,Team 10,5,2,3,4.06,5

Overall Statistics for G-16
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.08
Min GPA,4.02
Max GPA,4.16
Average GPA Deviation,0.037

G-17,Team 01,5,3,2,4.20,5
G-17,Team 02,5,3,2,4.09,5
G-17,Team 03,5,3,2,4.03,5
G-17,Team 04,5,3,2,4.07,5
G-17,Team 05,5,3,2,4.08,5
G-17,Team 06,5,2,3,4.08,5
G-17,Team 07,5,2,3,4.09,5
G-17,Team 08,5,2,3,4.14,5
G-17,Team 09,5,2,3,4.09,5
G-17,Team 10,5,2,3,4.01,5

Overall Statistics for G-17
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.09
Min GPA,4.01
Max GPA,4.20
Average GPA Deviation,0.034

G-18,Team 01,5,2,3,4.08,4
G-18,Team 02,5,2,3,4.12,5
G-18,Team 03,5,2,3,4.09,5
G-18,Team 04,5,2,3,3.99,4
G-18,Team 05,5,2,3,4.16,5
G-18,Team 06,5,2,3,4.09,5
G-18,Team 07,5,2,3,4.06,5
G-18,Team 08,5,2,3,4.04,5
G-18,Team 09,5,2,3,4.05,5
G-18,Team 10,5,1,4,4.03,5

Overall Statistics for G-18
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.07
Min GPA,3.99
Max GPA,4.16
Average GPA Deviation,0.036

G-19,Team 01,5,3,2,4.06,5
G-19,Team 02,5,3,2,4.06,5
G-19,Team 03,5,3,2,4.07,5
G-19,Team 04,5,3,2,4.06,5
G-19,Team 05,5,3,2,4.11,4
G-19,Team 06,5,2,3,4.05,5
G-19,Team 07,5,2,3,4.08,5
G-19,Team 08,5,2,3,4.17,5
G-19,Team 09,5,2,3,4.06,5
G-19,Team 10,5,2,3,4.02,5

Overall Statistics for G-19
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.07
Min GPA,4.02
Max GPA,4.17
Average GPA Deviation,0.027

G-20,Team 01,5,3,2,4.10,4
G-20,Team 02,5,3,2,4.06,4
G-20,Team 03,5,3,2,4.05,4
G-20,Team 04,5,2,3,4.04,4
G-20,Team 05,5,2,3,4.14,5
G-20,Team 06,5,2,3,4.08,5
G-20,Team 07,5,2,3,4.10,5
G-20,Team 08,5,2,3,4.05,5
G-20,Team 09,5,2,3,4.08,5
G-20,Team 10,5,2,3,4.13,5

Overall Statistics for G-20
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.08
Min GPA,4.04
Max GPA,4.14
Average GPA Deviation,0.027

G-21,Team 01,5,3,2,4.11,5
G-21,Team 02,5,2,3,4.10,5
G-21,Team 03,5,2,3,4.08,5
G-21,Team 04,5,2,3,4.15,5
G-21,Team 05,5,2,3,3.98,5
G-21,Team 06,5,2,3,4.07,4
G-21,Team 07,5,2,3,4.01,5
G-21,Team 08,5,2,3,4.07,5
G-21,Team 09,5,2,3,4.06,5
G-21,Team 10,5,2,3,4.07,5

Overall Statistics for G-21
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.07
Min GPA,3.98
Max GPA,4.15
Average GPA Deviation,0.033

G-22,Team 01,5,3,2,4.10,5
G-22,Team 02,5,3,2,4.05,5
G-22,Team 03,5,3,2,4.08,5
G-22,Team 04,5,2,3,4.05,5
G-22,Team 05,5,2,3,4.11,5
G-22,Team 06,5,2,3,4.09,4
G-22,Team 07,5,2,3,4.08,4
G-22,Team 08,5,2,3,4.08,4
G-22,Team 09,5,2,3,4.08,4
G-22,Team 10,5,2,3,4.09,4

Overall Statistics for G-22
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.08
Min GPA,4.05
Max GPA,4.11
Average GPA Deviation,0.014

G-23,Team 01,5,3,2,4.06,4
G-23,Team 02,5,3,2,4.12,4
G-23,Team 03,5,3,2,4.10,5
G-23,Team 04,5,3,2,4.02,5
G-23,Team 05,5,3,2,4.06,5
G-23,Team 06,5,2,3,4.02,4
G-23,Team 07,5,2,3,4.24,5
G-23,Team 08,5,2,3,4.00,5
G-23,Team 09,5,2,3,4.04,5
G-23,Team 10,5,2,3,4.12,5

Overall Statistics for G-23
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.08
Min GPA,4.00
Max GPA,4.24
Average GPA Deviation,0.054

G-24,Team 01,5,3,2,4.06,5
G-24,Team 02,5,3,2,4.17,5
G-24,Team 03,5,3,2,4.07,5
G-24,Team 04,5,3,2,4.06,5
G-24,Team 05,5,3,2,4.04,3
G-24,Team 06,5,3,2,4.01,4
G-24,Team 07,5,3,2,4.04,5
G-24,Team 08,5,3,2,4.01,5
G-24,Team 09,5,3,2,4.11,5
G-24,Team 10,5,2,3,4.01,5

Overall Statistics for G-24
Total Students,50
Total Males,29
Total Females,21
Average GPA,4.06
Min GPA,4.01
Max GPA,4.17
Average GPA Deviation,0.036

G-25,Team 01,5,2,3,4.11,4
G-25,Team 02,5,2,3,4.15,5
G-25,Team 03,5,2,3,4.06,4
G-25,Team 04,5,2,3,4.03,5
G-25,Team 05,5,2,3,4.01,5
G-25,Team 06,5,2,3,4.21,4
G-25,Team 07,5,2,3,4.14,5
G-25,Team 08,5,1,4,4.07,5
G-25,Team 09,5,2,3,4.04,5
G-25,Team 10,5,2,3,4.10,5

Overall Statistics for G-25
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.09
Min GPA,4.01
Max GPA,4.21
Average GPA Deviation,0.049

G-26,Team 01,5,2,3,4.13,4
G-26,Team 02,5,2,3,4.10,5
G-26,Team 03,5,2,3,4.11,5
G-26,Team 04,5,1,4,4.07,5
G-26,Team 05,5,2,3,4.07,5
G-26,Team 06,5,2,3,4.07,5
G-26,Team 07,5,2,3,4.04,4
G-26,Team 08,5,2,3,4.02,5
G-26,Team 09,5,2,3,4.12,5
G-26,Team 10,5,2,3,4.07,5

Overall Statistics for G-26
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.08
Min GPA,4.02
Max GPA,4.13
Average GPA Deviation,0.029

G-27,Team 01,5,2,3,4.11,5
G-27,Team 02,5,2,3,4.03,5
G-27,Team 03,5,2,3,4.08,5
G-27,Team 04,5,2,3,4.12,5
G-27,Team 05,5,2,3,4.12,5
G-27,Team 06,5,2,3,3.92,4
G-27,Team 07,5,2,3,4.15,5
G-27,Team 08,5,2,3,4.19,5
G-27,Team 09,5,2,3,4.01,5
G-27,Team 10,5,2,3,4.01,5

Overall Statistics for G-27
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.07
Min GPA,3.92
Max GPA,4.19
Average GPA Deviation,0.065

G-28,Team 01,5,3,2,4.09,4
G-28,Team 02,5,3,2,4.10,4
G-28,Team 03,5,3,2,4.11,4
G-28,Team 04,5,2,3,4.12,4
G-28,Team 05,5,2,3,4.10,4
G-28,Team 06,5,2,3,4.06,4
G-28,Team 07,5,2,3,4.04,5
G-28,Team 08,5,2,3,4.06,4
G-28,Team 09,5,2,3,4.01,4
G-28,Team 10,5,2,3,4.05,5

Overall Statistics for G-28
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.07
Min GPA,4.01
Max GPA,4.12
Average GPA Deviation,0.029

G-29,Team 01,5,3,2,4.10,5
G-29,Team 02,5,3,2,4.06,5
G-29,Team 03,5,3,2,4.03,5
G-29,Team 04,5,3,2,4.08,5
G-29,Team 05,5,3,2,4.05,5
G-29,Team 06,5,2,3,4.15,5
G-29,Team 07,5,2,3,4.09,5
G-29,Team 08,5,2,3,4.07,5
G-29,Team 09,5,2,3,4.10,5
G-29,Team 10,5,2,3,4.12,5

Overall Statistics for G-29
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.08
Min GPA,4.03
Max GPA,4.15
Average GPA Deviation,0.027

G-30,Team 01,5,3,2,4.05,5
G-30,Team 02,5,3,2,4.07,5
G-30,Team 03,5,3,2,4.08,5
G-30,Team 04,5,3,2,4.08,5
G-30,Team 05,5,3,2,4.11,5
G-30,Team 06,5,2,3,4.03,5
G-30,Team 07,5,2,3,4.21,4
G-30,Team 08,5,2,3,4.14,5
G-30,Team 09,5,2,3,4.09,5
G-30,Team 10,5,2,3,4.12,5

Overall Statistics for G-30
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.10
Min GPA,4.03
Max GPA,4.21
Average GPA Deviation,0.036

G-31,Team 01,5,3,2,4.10,5
G-31,Team 02,5,3,2,4.08,5
G-31,Team 03,5,3,2,4.10,5
G-31,Team 04,5,3,2,4.10,5
G-31,Team 05,5,3,2,4.10,4
G-31,Team 06,5,2,3,4.05,5
G-31,Team 07,5,2,3,4.27,5
G-31,Team 08,5,2,3,4.16,5
G-31,Team 09,5,2,3,4.08,5
G-31,Team 10,5,2,3,4.02,5

Overall Statistics for G-31
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.11
Min GPA,4.02
Max GPA,4.27
Average GPA Deviation,0.043

G-32,Team 01,5,3,2,4.09,5
G-32,Team 02,5,3,2,4.07,5
G-32,Team 03,5,3,2,4.07,5
G-32,Team 04,5,3,2,4.02,5
G-32,Team 05,5,2,3,4.16,5
G-32,Team 06,5,2,3,4.05,5
G-32,Team 07,5,2,3,4.17,5
G-32,Team 08,5,2,3,4.11,5
G-32,Team 09,5,2,3,4.10,5
G-32,Team 10,5,2,3,4.00,5

Overall Statistics for G-32
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.08
Min GPA,4.00
Max GPA,4.17
Average GPA Deviation,0.041

G-33,Team 01,5,3,2,4.10,5
G-33,Team 02,5,2,3,4.08,5
G-33,Team 03,5,2,3,4.10,5
G-33,Team 04,5,2,3,4.07,4
G-33,Team 05,5,2,3,4.08,5
G-33,Team 06,5,2,3,4.11,5
G-33,Team 07,5,2,3,4.12,4
G-33,Team 08,5,2,3,4.15,5
G-33,Team 09,5,2,3,4.08,4
G-33,Team 10,5,2,3,4.20,5

Overall Statistics for G-33
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.11
Min GPA,4.07
Max GPA,4.20
Average GPA Deviation,0.027

G-34,Team 01,5,3,2,4.10,5
G-34,Team 02,5,3,2,4.10,5
G-34,Team 03,5,3,2,4.09,5
G-34,Team 04,5,3,2,4.05,4
G-34,Team 05,5,2,3,4.08,5
G-34,Team 06,5,2,3,4.14,5
G-34,Team 07,5,2,3,4.14,5
G-34,Team 08,5,2,3,4.04,5
G-34,Team 09,5,2,3,4.10,5
G-34,Team 10,5,2,3,4.05,5

Overall Statistics for G-34
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.09
Min GPA,4.04
Max GPA,4.14
Average GPA Deviation,0.027

G-35,Team 01,5,2,3,4.13,5
G-35,Team 02,5,2,3,4.07,5
G-35,Team 03,5,2,3,4.12,4
G-35,Team 04,5,2,3,4.12,5
G-35,Team 05,5,2,3,4.12,5
G-35,Team 06,5,2,3,4.15,4
G-35,Team 07,5,2,3,4.17,5
G-35,Team 08,5,2,3,4.04,5
G-35,Team 09,5,2,3,4.13,5
G-35,Team 10,5,2,3,4.05,5

Overall Statistics for G-35
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.11
Min GPA,4.04
Max GPA,4.17
Average GPA Deviation,0.035

G-36,Team 01,5,3,2,4.09,5
G-36,Team 02,5,3,2,4.06,5
G-36,Team 03,5,3,2,4.13,5
G-36,Team 04,5,3,2,4.10,5
G-36,Team 05,5,3,2,4.08,5
G-36,Team 06,5,3,2,4.06,5
G-36,Team 07,5,3,2,4.03,3
G-36,Team 08,5,3,2,4.01,5
G-36,Team 09,5,3,2,4.08,5
G-36,Team 10,5,2,3,4.12,5

Overall Statistics for G-36
Total Students,50
Total Males,29
Total Females,21
Average GPA,4.08
Min GPA,4.01
Max GPA,4.13
Average GPA Deviation,0.030

G-37,Team 01,5,3,2,4.09,4
G-37,Team 02,5,2,3,4.10,4
G-37,Team 03,5,2,3,4.12,4
G-37,Team 04,5,2,3,4.09,5
G-37,Team 05,5,2,3,4.29,5
G-37,Team 06,5,2,3,4.06,5
G-37,Team 07,5,2,3,4.07,5
G-37,Team 08,5,2,3,4.20,5
G-37,Team 09,5,2,3,4.15,5
G-37,Team 10,5,2,3,4.10,4

Overall Statistics for G-37
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.13
Min GPA,4.06
Max GPA,4.29
Average GPA Deviation,0.052

G-38,Team 01,5,2,3,4.02,4
G-38,Team 02,5,2,3,4.11,5
G-38,Team 03,5,2,3,4.06,5
G-38,Team 04,5,2,3,4.16,5
G-38,Team 05,5,2,3,4.01,5
G-38,Team 06,5,2,3,4.06,5
G-38,Team 07,5,2,3,4.13,4
G-38,Team 08,5,2,3,4.08,5
G-38,Team 09,5,2,3,4.11,5
G-38,Team 10,5,2,3,4.17,5

Overall Statistics for G-38
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.09
Min GPA,4.01
Max GPA,4.17
Average GPA Deviation,0.045

G-39,Team 01,5,2,3,4.07,5
G-39,Team 02,5,2,3,4.09,5
G-39,Team 03,5,1,4,4.11,5
G-39,Team 04,5,2,3,4.05,5
G-39,Team 05,5,2,3,4.10,4
G-39,Team 06,5,2,3,4.04,4
G-39,Team 07,5,2,3,4.12,5
G-39,Team 08,5,2,3,4.06,5
G-39,Team 09,5,2,3,4.06,5
G-39,Team 10,5,1,4,4.08,5

Overall Statistics for G-39
Total Students,50
Total Males,18
Total Females,32
Average GPA,4.08
Min GPA,4.04
Max GPA,4.12
Average GPA Deviation,0.022

G-40,Team 01,5,3,2,4.12,5
G-40,Team 02,5,3,2,4.17,5
G-40,Team 03,5,2,3,4.12,5
G-40,Team 04,5,2,3,4.04,4
G-40,Team 05,5,2,3,4.01,5
G-40,Team 06,5,2,3,4.12,5
G-40,Team 07,5,2,3,4.10,5
G-40,Team 08,5,2,3,4.09,5
G-40,Team 09,5,2,3,4.10,5
G-40,Team 10,5,2,3,4.17,5

Overall Statistics for G-40
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.10
Min GPA,4.01
Max GPA,4.17
Average GPA Deviation,0.036

G-41,Team 01,5,3,2,4.11,5
G-41,Team 02,5,3,2,4.16,5
G-41,Team 03,5,3,2,3.95,5
G-41,Team 04,5,2,3,4.13,4
G-41,Team 05,5,2,3,4.11,4
G-41,Team 06,5,2,3,4.03,5
G-41,Team 07,5,2,3,4.11,5
G-41,Team 08,5,2,3,4.14,5
G-41,Team 09,5,2,3,4.17,5
G-41,Team 10,5,2,3,4.06,5

Overall Statistics for G-41
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.10
Min GPA,3.95
Max GPA,4.17
Average GPA Deviation,0.051

G-42,Team 01,5,3,2,4.10,4
G-42,Team 02,5,3,2,4.11,5
G-42,Team 03,5,3,2,4.10,5
G-42,Team 04,5,3,2,3.98,5
G-42,Team 05,5,2,3,4.19,4
G-42,Team 06,5,2,3,3.99,5
G-42,Team 07,5,2,3,4.18,4
G-42,Team 08,5,2,3,4.14,4
G-42,Team 09,5,2,3,4.05,5
G-42,Team 10,5,2,3,4.13,5

Overall Statistics for G-42
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.10
Min GPA,3.98
Max GPA,4.19
Average GPA Deviation,0.056

G-43,Team 01,5,3,2,4.08,5
G-43,Team 02,5,3,2,4.10,5
G-43,Team 03,5,3,2,4.06,5
G-43,Team 04,5,3,2,4.05,5
G-43,Team 05,5,3,2,4.08,3
G-43,Team 06,5,3,2,4.05,4
G-43,Team 07,5,3,2,4.12,5
G-43,Team 08,5,2,3,4.09,5
G-43,Team 09,5,2,3,4.09,5
G-43,Team 10,5,2,3,4.08,5

Overall Statistics for G-43
Total Students,50
Total Males,27
Total Females,23
Average GPA,4.08
Min GPA,4.05
Max GPA,4.12
Average GPA Deviation,0.018

G-44,Team 01,5,3,2,4.22,5
G-44,Team 02,5,3,2,4.04,5
G-44,Team 03,5,3,2,4.10,5
G-44,Team 04,5,3,2,4.06,5
G-44,Team 05,5,3,2,4.13,5
G-44,Team 06,5,3,2,4.12,5
G-44,Team 07,5,2,3,4.06,5
G-44,Team 08,5,2,3,4.09,5
G-44,Team 09,5,2,3,4.08,5
G-44,Team 10,5,2,3,4.15,5

Overall Statistics for G-44
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.11
Min GPA,4.04
Max GPA,4.22
Average GPA Deviation,0.039

G-45,Team 01,5,3,2,4.06,5
G-45,Team 02,5,3,2,4.15,5
G-45,Team 03,5,2,3,4.08,5
G-45,Team 04,5,2,3,4.10,5
G-45,Team 05,5,2,3,3.99,4
G-45,Team 06,5,2,3,4.08,5
G-45,Team 07,5,2,3,4.04,5
G-45,Team 08,5,2,3,4.02,5
G-45,Team 09,5,2,3,4.06,5
G-45,Team 10,5,2,3,4.05,5

Overall Statistics for G-45
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.06
Min GPA,3.99
Max GPA,4.15
Average GPA Deviation,0.030

G-46,Team 01,5,3,2,4.06,5
G-46,Team 02,5,3,2,4.04,5
G-46,Team 03,5,3,2,4.05,5
G-46,Team 04,5,3,2,4.27,5
G-46,Team 05,5,3,2,4.05,4
G-46,Team 06,5,3,2,4.04,4
G-46,Team 07,5,2,3,3.98,5
G-46,Team 08,5,2,3,3.97,5
G-46,Team 09,5,2,3,4.09,5
G-46,Team 10,5,2,3,4.03,5

Overall Statistics for G-46
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.06
Min GPA,3.97
Max GPA,4.27
Average GPA Deviation,0.049

G-47,Team 01,5,3,2,4.08,5
G-47,Team 02,5,3,2,4.07,5
G-47,Team 03,5,3,2,3.97,5
G-47,Team 04,5,3,2,4.01,5
G-47,Team 05,5,2,3,4.11,4
G-47,Team 06,5,2,3,4.02,4
G-47,Team 07,5,2,3,4.06,5
G-47,Team 08,5,2,3,4.08,5
G-47,Team 09,5,2,3,4.07,5
G-47,Team 10,5,2,3,4.11,5

Overall Statistics for G-47
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.06
Min GPA,3.97
Max GPA,4.11
Average GPA Deviation,0.034

G-48,Team 01,5,3,2,4.29,4
G-48,Team 02,5,3,2,4.10,4
G-48,Team 03,5,3,2,4.14,4
G-48,Team 04,5,3,2,4.06,5
G-48,Team 05,5,3,2,4.08,5
G-48,Team 06,5,3,2,4.13,4
G-48,Team 07,5,2,3,4.14,5
G-48,Team 08,5,2,3,4.08,5
G-48,Team 09,5,2,3,4.09,4
G-48,Team 10,5,2,3,4.05,4

Overall Statistics for G-48
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.12
Min GPA,4.05
Max GPA,4.29
Average GPA Deviation,0.046

G-49,Team 01,5,3,2,4.05,5
G-49,Team 02,5,2,3,4.07,5
